,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,+,+,+,-,-,-,+,+,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
37,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,+,+,-,-,+,+,+,+,,
,,,,6,W,W,B,W,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
38,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,+,W,W,,
,,,,2,W,W,W,W,W,+,W,W,,
,,,,3,W,W,W,W,W,+,W,W,,
,,,,4,W,W,W,W,W,+,W,W,,
,,,,5,W,W,W,W,W,+,W,W,,
,,,,6,W,W,W,W,-,B,W,W,,
,,,,7,W,W,W,W,-,B,W,W,,
,,,,8,W,W,W,W,W,+,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
39,3,X/H/Z/Y,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,W,+,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,B,B,B,B,+,B,B,B,,
,,,,6,B,B,B,B,-,B,B,B,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
40,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,+,+,+,+,-,-,+,+,,
,,,,4,W,W,W,B,W,B,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
41,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,+,+,-,+,+,+,+,+,,
,,,,6,B,B,W,B,B,B,B,B,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
42,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,B,-,+,W,W,W,,
,,,,4,W,W,B,-,+,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
43,3,X/H/Y/Z,All white,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,+,+,-,+,+,+,+,+,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,+,+,-,+,+,+,+,+,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
44,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,B,B,B,B,B,,
,,,,4,B,B,W,B,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,+,-,B,B,B,B,,
,,,,7,B,B,+,-,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
45,3,X/H/Y/Z,All black,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,-,B,B,B,,
,,,,2,B,B,B,B,-,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,B,B,B,B,-,B,B,B,,
,,,,5,B,B,B,B,+,W,B,B,,
,,,,6,-,-,-,-,W,+,-,-,,
,,,,7,B,B,B,B,-,B,B,B,,
,,,,8,B,B,B,B,-,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
46,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,+,B,-,B,B,,
,,,,4,B,B,B,+,B,-,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
47,3,X/H/Y/Z,All black,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,B,B,B,B,-,B,B,B,,
,,,,4,B,B,B,B,-,B,B,B,,
,,,,5,B,B,B,+,B,B,B,B,,
,,,,6,B,B,B,-,B,B,B,B,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
48,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,B,B,-,-,B,B,B,B,,
,,,,6,B,B,+,+,W,W,B,B,,
,,,,7,B,B,B,B,W,W,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
49,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,B,B,B,B,B,,
,,,,4,B,B,-,-,B,B,B,B,,
,,,,5,B,B,+,+,B,B,B,B,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,B,B,W,B,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
50,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,W,W,B,B,B,,
,,,,4,B,B,+,-,W,B,B,B,,
,,,,5,B,B,+,+,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
51,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,-,B,B,,
,,,,2,B,B,B,B,B,-,B,B,,
,,,,3,B,B,B,B,B,B,-,B,,
,,,,4,B,B,B,B,B,B,-,B,,
,,,,5,B,B,B,B,B,+,W,B,,
,,,,6,B,B,B,B,B,+,W,B,,
,,,,7,B,B,B,B,B,-,B,B,,
,,,,8,B,B,B,B,B,-,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
52,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,B,B,B,B,W,B,B,B,,
,,,,4,B,B,B,B,W,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,B,W,-,-,B,B,,
,,,,7,B,B,B,B,+,-,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
53,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,W,B,W,B,,
,,,,4,-,-,-,-,+,+,-,-,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
54,3,X/H/Y/Z,All black,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,W,B,B,,
,,,,2,B,B,B,B,B,W,B,B,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,B,B,B,B,W,B,B,B,,
,,,,5,B,B,B,B,W,W,W,B,,
,,,,6,B,B,B,B,B,B,W,B,,
,,,,7,B,B,B,B,B,W,B,B,,
,,,,8,B,B,B,B,B,W,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
55,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,W,W,B,B,,
,,,,5,B,B,B,B,B,B,B,B,,
,,,,6,B,B,B,B,W,B,W,B,,
,,,,7,B,B,B,B,B,W,W,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
56,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,B,B,B,B,W,W,B,B,,
,,,,5,B,B,B,B,B,-,-,B,,
,,,,6,B,B,B,B,W,+,-,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
57,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,B,B,B,B,W,B,B,B,,
,,,,4,B,B,W,W,W,B,B,B,,
,,,,5,B,B,W,+,+,B,B,B,,
,,,,6,B,B,B,-,+,B,B,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
58,3,X/H/Y/Z,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,-,B,B,B,B,,
,,,,2,B,B,B,-,B,B,B,B,,
,,,,3,W,W,W,+,B,W,W,W,,
,,,,4,B,B,B,-,W,B,B,B,,
,,,,5,B,B,B,-,B,B,B,B,,
,,,,6,B,B,B,-,B,B,B,B,,
,,,,7,B,B,B,-,B,B,B,B,,
,,,,8,B,B,B,-,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
59,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,W,B,W,W,W,,
,,,,3,W,W,W,W,B,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,B,B,B,B,W,+,+,B,,
,,,,7,W,W,W,W,B,+,+,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
60,3,X/H/Y,All white,3,,,,,,,,,,
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,-,-,W,W,W,,
,,,,5,W,W,W,+,+,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
61,3,X/H/Y/Z,All white,3,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,+,+,W,,
,,,,6,W,W,W,W,+,B,-,W,,
,,,,7,W,W,W,W,+,+,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
62,3,X/H/Y/Z/CNOT,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,B,B,W,W,W,W,,
,,,,4,W,W,W,B,W,W,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
63,3,X/H/Y/Z/CNOT/SWAP,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,B,B,B,W,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,-,-,-,-,+,-,-,-,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
64,3,X/H/Y/Z/CNOT/SWAP,All black,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,W,B,B,B,B,B,,
,,,,2,B,B,W,B,B,B,B,B,,
,,,,3,B,B,W,W,B,B,B,B,,
,,,,4,B,B,B,B,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,W,B,B,B,B,B,,
,,,,7,B,B,W,B,B,B,B,B,,
,,,,8,B,B,W,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
65,3,X/H/Y/Z/CNOT/SWAP,All black,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,B,B,B,,
,,,,4,W,W,+,+,W,W,W,W,,
,,,,5,B,B,+,+,B,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
66,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,+,+,-,+,-,+,+,+,,
,,,,7,W,W,W,B,B,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
67,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,B,W,W,B,W,W,W,,
,,,,4,B,B,W,B,B,B,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
68,3,X/H/Y/Z/CNOT/SWAP,All white,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,W,W,B,W,W,W,W,W,,
,,,,4,+,+,-,+,+,+,+,+,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,+,+,-,+,+,+,+,+,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
69,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,+,W,W,W,W,W,,
,,,,2,W,W,+,W,W,W,W,W,,
,,,,3,W,W,+,W,W,W,W,W,,
,,,,4,W,W,-,B,W,W,W,W,,
,,,,5,W,W,+,B,W,W,W,W,,
,,,,6,W,W,+,W,W,W,W,W,,
,,,,7,W,W,+,W,W,W,W,W,,
,,,,8,W,W,+,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
70,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,+,-,B,W,,
,,,,6,W,W,W,B,-,-,B,W,,
,,,,7,W,W,W,B,B,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
71,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
72,3,X/H/Y/Z/CNOT/SWAP,All white,4,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,+,W,W,W,,
,,,,2,W,W,W,W,+,W,W,W,,
,,,,3,W,W,W,B,+,W,W,W,,
,,,,4,W,W,W,+,B,W,W,W,,
,,,,5,W,W,W,+,W,W,W,W,,
,,,,6,W,W,W,W,+,W,W,W,,
,,,,7,W,W,W,W,+,W,W,W,,
,,,,8,W,W,W,W,+,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
73,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,B,W,W,W,,
,,,,2,W,W,W,B,B,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,B,W,W,W,,
,,,,5,W,W,W,W,B,W,W,W,,
,,,,6,W,W,W,W,B,B,W,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,B,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
74,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,B,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,W,W,W,B,W,B,W,W,,
,,,,6,W,W,W,W,B,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
75,3,X/H/Y/Z/CNOT/SWAP,All white,2,,,,,,,,,,auto generated (N=3, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,W,W,W,W,,
,,,,2,W,W,B,W,W,W,W,W,,
,,,,3,B,W,W,B,B,B,B,B,,
,,,,4,W,W,B,W,W,W,W,W,,
,,,,5,W,W,B,W,W,W,W,W,,
,,,,6,W,W,B,W,W,W,W,W,,
,,,,7,W,W,B,W,W,W,W,W,,
,,,,8,W,W,B,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
76,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,+,+,B,W,,
,,,,7,W,W,W,W,+,-,B,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
77,3,X/H/Y/Z/CNOT/SWAP,All white,3,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,W,W,W,W,W,B,B,W,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
78,3,X/H/Y/Z/CNOT/SWAP,All black,3,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,B,B,B,W,B,B,,
,,,,4,B,B,B,B,W,W,B,B,,
,,,,5,W,W,W,W,W,W,W,W,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
79,3,X/H/Y/CNOT/SWAP/Z,All white,4,,,,,,,,,,auto generated (N=5, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,W,W,W,W,W,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,W,W,W,W,B,B,B,W,,
,,,,7,W,W,W,W,B,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
80,4,X,All white,2,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,B,B,B,B,W,W,B,B,,
,,,,4,W,W,W,B,W,B,W,W,,
,,,,5,W,W,W,B,W,B,W,W,,
,,,,6,W,W,W,W,B,B,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
81,4,X,All black,2,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,W,B,B,B,,
,,,,2,B,B,B,B,W,B,B,B,,
,,,,3,B,B,B,B,W,B,B,B,,
,,,,4,W,W,W,W,B,B,B,W,,
,,,,5,B,B,B,B,B,B,W,B,,
,,,,6,B,B,B,B,B,W,B,B,,
,,,,7,B,B,B,B,W,B,B,B,,
,,,,8,B,B,B,B,W,B,B,B,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
82,4,X/H,All white,4,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,B,W,W,,
,,,,2,W,W,W,+,W,B,W,W,,
,,,,3,W,W,W,+,W,B,W,W,,
,,,,4,W,W,W,+,W,B,W,W,,
,,,,5,+,+,+,B,+,+,+,+,,
,,,,6,W,W,W,+,B,B,W,W,,
,,,,7,W,W,W,+,W,B,W,W,,
,,,,8,W,W,W,+,W,B,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
83,4,X/H,All white,3,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,+,+,+,-,+,+,+,+,,
,,,,4,W,W,W,B,W,W,W,W,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,+,+,+,-,+,+,+,+,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,difficulty,,,,,,,,,,comment
84,4,X/H,All white,3,,,,,,,,,,auto generated (N=4, central, overlap)
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,B,W,B,W,W,W,,
